11 / 12 측정_날짜,18_11월 12일,17_11월 13일,13_11월 14일,14_11월 15일,15_11월 16일,5_11월 17일,5_11월 18일,9_11월 19일,12_11월 20일,11_11월 21일,11_11월 22일,_11월 23일,_11월 24일,_11월 25일,_11월 26일,_11월 27일,_11월 28일,_11월 29일,_11월 30일,_12월 01일,_12월 02일,_12월 03일
,6.0,7.0,3.0,3.0,7.0,1.0,-3.0,-2.0,4.0,3.0,3.0,,,,,,,,,,,
11 / 13 측정,,18.0,14.0,16.0,16.0,5.0,5.0,8.0,12.0,12.0,10.0,11.0,,,,,,,,,,
,,7.0,4.0,3.0,6.0,1.0,-3.0,-2.0,4.0,4.0,2.0,3.0,,,,,,,,,,
11 / 14 측정,,,15.0,16.0,16.0,5.0,5.0,8.0,12.0,10.0,10.0,13.0,11.0,,,,,,,,,
,,,5.0,4.0,6.0,2.0,-3.0,-2.0,3.0,1.0,2.0,4.0,6.0,,,,,,,,,
11 / 15 측정,,,,18.0,17.0,6.0,6.0,7.0,11.0,9.0,10.0,13.0,12.0,12.0,,,,,,,,
,,,,4.0,5.0,2.0,-2.0,-2.0,1.0,1.0,0.0,5.0,5.0,3.0,,,,,,,,
11 / 16 측정,,,,,18.0,6.0,6.0,7.0,10.0,10.0,11.0,13.0,12.0,11.0,9.0,,,,,,,
,,,,,6.0,2.0,-3.0,-2.0,0.0,1.0,1.0,5.0,4.0,3.0,1.0,,,,,,,
11 / 17 측정,,,,,,5.0,6.0,8.0,11.0,10.0,11.0,13.0,12.0,11.0,9.0,6.0,,,,,,
,,,,,,3.0,-3.0,-2.0,1.0,1.0,1.0,5.0,6.0,4.0,3.0,0.0,,,,,,
11 / 18 측정,,,,,,,6.0,7.0,13.0,11.0,11.0,13.0,12.0,8.0,11.0,,,,,,,
,,,,,,,-3.0,-1.0,2.0,0.0,1.0,4.0,7.0,1.0,3.0,,,,,,,
11 / 19 측정,,,,,,,,9.0,14.0,12.0,13.0,14.0,13.0,8.0,11.0,9.0,6.0,7.0,,,,
,,,,,,,,-2.0,2.0,0.0,3.0,5.0,7.0,1.0,2.0,5.0,0.0,0.0,,,,
11 / 20 측정,,,,,,,,,14.0,11.0,14.0,14.0,14.0,7.0,10.0,8.0,6.0,7.0,6.0,,,
,,,,,,,,,3.0,0.0,3.0,6.0,8.0,2.0,0.0,5.0,-1.0,0.0,-1.0,,,
11 / 21 측정,,,,,,,,,,12.0,14.0,14.0,16.0,9.0,9.0,8.0,7.0,7.0,7.0,8.0,,
,,,,,,,,,,0.0,4.0,6.0,10.0,6.0,0.0,4.0,-1.0,1.0,0.0,1.0,,
11 / 22 측정,,,,,,,,,,,15.0,15.0,16.0,10.0,9.0,9.0,9.0,8.0,7.0,7.0,7.0,
,,,,,,,,,,,5.0,7.0,10.0,6.0,0.0,4.0,0.0,2.0,0.0,-1.0,0.0,
11 / 23 측정,,,,,,,,,,,,14.0,16.0,10.0,9.0,9.0,8.0,9.0,7.0,7.0,7.0,7.0
,,,,,,,,,,,,8.0,10.0,9.0,1.0,3.0,0.0,2.0,0.0,-1.0,0.0,0.0
