날짜,11월 12일,11월 13일,11월 14일,11월 15일,11월 16일,11월 17일,11월 18일,11월 19일,11월 20일,11월 21일,11월 22일,11월 23일,11월 24일,11월 25일,11월 26일,11월 27일,11월 28일,11월 29일,11월 30일,12월 01일,12월 02일,12월 03일
11 / 12 측정,18,17,13,14,15,5,5,9,12,11,11,,,,,,,,,,,
,6,7,3,3,7,1,-3,-2,4,3,3,,,,,,,,,,,
11 / 13 측정,,18,14,16,16,5,5,8,12,12,10,11,,,,,,,,,,
,,7,4,3,6,1,-3,-2,4,4,2,3,,,,,,,,,,
11 / 14 측정,,,15,16,16,5,5,8,12,10,10,13,11,,,,,,,,,
,,,5,4,6,2,-3,-2,3,1,2,4,6,,,,,,,,,
11 / 15 측정,,,,18,17,6,6,7,11,9,10,13,12,12,,,,,,,,
,,,,4,5,2,-2,-2,1,1,0,5,5,3,,,,,,,,
11 / 16 측정,,,,,18,6,6,7,10,10,11,13,12,11,9,,,,,,,
,,,,,6,2,-3,-2,0,1,1,5,4,3,1,,,,,,,
11 / 17 측정,,,,,,5,6,8,11,10,11,13,12,11,9,6,,,,,,
,,,,,,3,-3,-2,1,1,1,5,6,4,3,0,,,,,,
11 / 18 측정,,,,,,,6,7,13,11,11,13,12,8,11,,,,,,,
,,,,,,,-3,-1,2,0,1,4,7,1,3,,,,,,,
11 / 19 측정,,,,,,,,9,14,12,13,14,13,8,11,9,6,7,,,,
,,,,,,,,-2,2,0,3,5,7,1,2,5,0,0,,,,
11 / 20 측정,,,,,,,,,14,11,14,14,14,7,10,8,6,7,6,,,
,,,,,,,,,3,0,3,6,8,2,0,5,-1,0,-1,,,
11 / 21 측정,,,,,,,,,,12,14,14,16,9,9,8,7,7,7,8,,
,,,,,,,,,,0,4,6,10,6,0,4,-1,1,0,1,,
11 / 22 측정,,,,,,,,,,,15,15,16,10,9,9,9,8,7,7,7,
,,,,,,,,,,,5,7,10,6,0,4,0,2,0,-1,0,
11 / 23 측정,,,,,,,,,,,,14,16,10,9,9,8,9,7,7,7,7
,,,,,,,,,,,,8,10,9,1,3,0,2,0,-1,0,0
