Site,Measure_Date,Target_Date,Max_Temp,Min_Temp,Target_Max_x,Target_Min_x,Target_Max_y,Target_Min_y
기상청,11월 12일,11월 12일,18,6,18,6,,
기상청,11월 12일,11월 13일,17,7,18,7,,
기상청,11월 12일,11월 14일,13,3,15,5,,
기상청,11월 12일,11월 15일,14,3,18,4,,
기상청,11월 12일,11월 16일,15,7,19,6,,
기상청,11월 12일,11월 17일,5,1,10,-1,,
기상청,11월 12일,11월 18일,5,-3,7,-2,,
기상청,11월 12일,11월 19일,9,-2,9,-2,,
기상청,11월 13일,11월 13일,18,7,18,7,,
기상청,11월 13일,11월 14일,14,4,15,5,,
기상청,11월 13일,11월 15일,16,3,18,4,,
기상청,11월 13일,11월 16일,16,6,19,6,,
기상청,11월 13일,11월 17일,5,1,10,-1,,
기상청,11월 13일,11월 18일,5,-3,7,-2,,
기상청,11월 13일,11월 19일,8,-2,9,-2,,
기상청,11월 13일,11월 20일,12,4,15,2,,
기상청,11월 14일,11월 14일,15,5,15,5,,
기상청,11월 14일,11월 15일,16,4,18,4,,
기상청,11월 14일,11월 16일,16,6,19,6,,
기상청,11월 14일,11월 17일,5,2,10,-1,,
기상청,11월 14일,11월 18일,5,-3,7,-2,,
기상청,11월 14일,11월 19일,8,-2,9,-2,,
기상청,11월 14일,11월 20일,12,3,15,2,,
기상청,11월 14일,11월 21일,10,1,13,1,,
기상청,11월 15일,11월 15일,18,4,18,4,,
기상청,11월 15일,11월 16일,17,5,19,6,,
기상청,11월 15일,11월 17일,6,2,10,-1,,
기상청,11월 15일,11월 18일,6,-2,7,-2,,
기상청,11월 15일,11월 19일,7,-2,9,-2,,
기상청,11월 15일,11월 20일,11,1,15,2,,
기상청,11월 15일,11월 21일,9,1,13,1,,
기상청,11월 15일,11월 22일,10,0,15,5,,
기상청,11월 16일,11월 16일,18,6,19,6,,
기상청,11월 16일,11월 17일,6,2,10,-1,,
기상청,11월 16일,11월 18일,6,-3,7,-2,,
기상청,11월 16일,11월 19일,7,-2,9,-2,,
기상청,11월 16일,11월 20일,10,0,15,2,,
기상청,11월 16일,11월 21일,10,1,13,1,,
기상청,11월 16일,11월 22일,11,1,15,5,,
기상청,11월 16일,11월 23일,13,5,14,7,,
기상청,11월 17일,11월 17일,5,3,10,-1,,
기상청,11월 17일,11월 18일,6,-3,7,-2,,
기상청,11월 17일,11월 19일,8,-2,9,-2,,
기상청,11월 17일,11월 20일,11,1,15,2,,
기상청,11월 17일,11월 21일,10,1,13,1,,
기상청,11월 17일,11월 22일,11,1,15,5,,
기상청,11월 17일,11월 23일,13,5,14,7,,
기상청,11월 17일,11월 24일,12,6,17,10,,
기상청,11월 18일,11월 18일,6,-3,7,-2,,
기상청,11월 18일,11월 19일,7,-1,9,-2,,
기상청,11월 18일,11월 20일,13,2,15,2,,
기상청,11월 18일,11월 21일,11,0,13,1,,
