,11 / 12,11 / 13,11 / 14,11 / 15,11 / 16,11 / 17,11 / 18,11 / 19,11 / 20,11 / 21,11 / 22,11 / 23,11 / 24,11 / 25,11 / 26,11 / 27,11 / 28,11 / 29,11 / 30,12 / 1,12 / 2,12 / 3
11 / 12 측정,16,15,12,14,16,5,5,8,13,10,11,,,,,,,,,,,
,-2,3,3,6,1,-2,0,4,3,5,4,,,,,,,,,,,
11 / 13 측정,,,,14,16,5,5,8,14,12,9,11,,,,,,,,,,
,,,,6,1,-2,-1,4,4,1,2,7,,,,,,,,,,
11 / 14 측정,,,,,16,5,6,7,12,9,9,12,9,6,8,13,,,,,,
,,,,,1,-1,0,3,2,1,3,6,2,1,4,2,,,,,,
11 / 15 측정,,,,,16,5,6,6,12,9,10,12,10,8,11,8,12,,,,,
,,,,,1,-1,-1,1,1,2,5,9,1,2,5,3,1,,,,,
11 / 16 측정,,,,,,5,5,6,13,9,8,12,13,8,11,14,9,2,,,,
,,,,,,-2,-1,2,2,0,2,7,1,2,8,8,1,-7,,,,
11 / 17 측정,,,,,,,5,6,13,11,13,14,13,9,13,13,9,1,0,,,
,,,,,,,-1,2,1,2,5,9,1,5,7,6,-2,-3,-6,,,
11 / 18 측정,,,,,,,,7,13,12,12,13,12,6,14,15,6,1,4,12,,
,,,,,,,,2,1,2,6,9,0,2,11,3,-3,-4,1,4,,
11 / 19 측정,,,,,,,,,13,11,14,14,15,5,9,7,6,9,4,6,11,
,,,,,,,,,1,4,7,9,1,0,4,-1,3,-1,0,4,4,
11 / 20 측정,,,,,,,,,,11,14,14,15,6,6,8,5,8,6,4,11,13
,,,,,,,,,,4,7,9,5,-1,2,0,2,2,-1,1,6,1
11 / 21 측정,,,,,,,,,,,13,15,16,7,8,9,5,7,10,1,5,8
,,,,,,,,,,,6,9,5,0,3,1,1,3,-1,-3,3,-2
11 / 22 측정,,,,,,,,,,,,15,16,9,9,8,7,12,6,0,6,9
,,,,,,,,,,,,9,6,1,4,-1,3,5,-4,-3,3,-3
11 / 23 측정,,,,,,,,,,,,,16,8,8,9,6,12,7,5,11,9
,,,,,,,,,,,,,7,1,4,-1,1,3,2,0,3,-2
