,11 / 12,11 / 13,11 / 14,11 / 15,11 / 16,11 / 17,11 / 18,11 / 19,11 / 20,11 / 21,11 / 22,11 / 23,11 / 24,11 / 25,11 / 26,11 / 27,11 / 28,11 / 29,11 / 30,12 / 1,12 / 2,12 / 3
11 / 12 측정,18,15,12,15,16,6,3,10,12,12,11,,,,,,,,,,,
,6,7,4,4,7,0,-2,0,4,4,3,,,,,,,,,,,
11 / 13 측정,,17,14,14,17,7,6,11,,,,,,,,,,,,,,
,,7,5,4,7,0,-2,-1,,,,,,,,,,,,,,
11 / 14 측정,,,15,15,16,8,7,8,13,,,,,,,,,,,,,
,,,5,4,6,1,0,-1,3,,,,,,,,,,,,,
11 / 15 측정,,,,17,18,7,7,8,13,11,,,,,,,,,,,,
,,,,4,5,1,-1,-1,2,2,,,,,,,,,,,,
11 / 16 측정,,,,,18,8,6,8,13,12,10,12,13,13,11,9,9,9,,,,
,,,,,6,1,-1,-1,2,3,3,4,5,5,4,2,2,2,,,,
11 / 17 측정,,,,,,9,5,8,14,12,13,15,15,12,10,10,9,9,8,,,
,,,,,,0,-1,-1,2,2,3,6,7,5,3,3,2,1,1,,,
11 / 18 측정,,,,,,,6,7,13,13,14,15,15,10,11,10,11,9,7,6,,
,,,,,,,-2,-1,2,2,2,6,8,2,4,3,3,3,0,-1,,
11 / 19 측정,,,,,,,,9,15,11,14,16,16,8,11,12,12,11,8,5,5,
,,,,,,,,-1,2,1,4,6,8,2,2,4,4,3,1,-1,-2,
11 / 20 측정,,,,,,,,,15,11,13,15,16,10,9,10,8,9,7,7,6,6
,,,,,,,,,2,1,4,7,10,2,0,4,2,2,1,0,0,0
11 / 21 측정,,,,,,,,,,12,14,15,17,10,10,9,8,9,7,5,5,6
,,,,,,,,,,1,5,6,10,2,0,5,1,2,1,-1,-1,0
11 / 22 측정,,,,,,,,,,,15,16,15,11,10,11,8,12,10,7,7,7
,,,,,,,,,,,6,7,10,5,2,4,1,4,3,2,1,0
11 / 23 측정,,,,,,,,,,,,14,16,9,10,10,8,12,9,8,9,8
,,,,,,,,,,,,7,10,4,1,3,1,3,3,1,2,2
