,11 / 12,11 / 13,11 / 14,11 / 15,11 / 16,11 / 17,11 / 18,11 / 19,11 / 20,11 / 21,11 / 22,11 / 23,11 / 24,11 / 25,11 / 26,11 / 27,11 / 28,11 / 29,11 / 30,12 / 1,12 / 2,12 / 3
11 / 12 측정,17,18,15,16,18,5,7,9,12,12,13,,,,,,,,,,,
,5,2,2,4,2,-4,-2,1,-1,2,3,,,,,,,,,,,
11 / 13 측정,,18,14,15,18,5,6,113,12,10,12,13,,,,,,,,,,
,,3,0,3,1,-4,-4,4,1,0,3,4,,,,,,,,,,
11 / 14 측정,,,15,16,18,5,6,8,14,9,10,13,15,,,,,,,,,
,,,1,4,1,-5,-3,1,3,-2,-1,5,6,,,,,,,,,
11 / 15 측정,,,,17,18,6,6,8,12,12,11,10,7,10,10,11,10,,,,,
,,,,3,2,-4,-4,-1,1,1,2,5,-5,1,1,1,1,,,,,
11 / 16 측정,,,,,18,6,6,8,14,12,11,11,12,12,10,11,8,11,6,,,
,,,,,2,-4,-5,-1,0,-1,1,5,-2,1,1,2,0,0,-3,,,
11 / 17 측정,,,,,,5,5,8,14,11,13,14,12,6,13,12,10,8,6,4,3,3
,,,,,,-4,-5,-2,-1,-1,2,6,-5,0,4,2,1,-1,-3,-4,-4,-4
11 / 18 측정,,,,,,,6,8,14,12,12,15,15,4,13,13,10,7,6,4,3,3
,,,,,,,-3,0,-1,-1,3,7,2,-1,6,2,-1,-1,-3,-3,-4,-4
11 / 19 측정,,,,,,,,8,14,13,14,16,16,10,10,6,8,9,9,7,3,3
,,,,,,,,-1,-2,-1,4,8,1,0,2,-6,0,1,0,-2,-4,-4
11 / 20 측정,,,,,,,,,14,12,15,15,17,8,10,6,6,13,8,6,3,3
,,,,,,,,,-2,3,8,5,-4,3,-6,0,-1,-2,-5,-4,-4,2
11 / 21 측정,,,,,,,,,,12,15,16,17,10,11,11,5,9,7,8,7,8
,,,,,,,,,,2,4,10,4,-2,2,1,-2,2,-2,-1,-1,-2
11 / 22 측정,,,,,,,,,,,15,16,17,10,11,10,10,12,7,2,7,8
,,,,,,,,,,,5,9,6,-1,3,-3,3,2,-7,-6,0,-2
11 / 23 측정,,,,,,,,,,,,16,17,10,10,9,7,14,6,7,7,8
,,,,,,,,,,,,9,7,0,2,-2,-1,3,0,-1,1,-1
