,11 / 12,11 / 13,11 / 14,11 / 15,11 / 16,11 / 17,11 / 18,11 / 19,11 / 20,11 / 21,11 / 22,11 / 23,11 / 24,11 / 25,11 / 26,11 / 27,11 / 28,11 / 29,11 / 30,12 / 1,12 / 2,12 / 3
11 / 12 측정,,17,14,16,17,6,6,9,14,12,11,,,,,,,,,,,
,,1,0,3,1,-3,-4,2,1,1,0,,,,,,,,,,,
11 / 13 측정,,,14,16,17,5,6,9,13,12,11,13,,,,,,,,,,
,,,0,3,1,-4,-3,1,2,0,1,3,,,,,,,,,,
11 / 14 측정,,,,16,17,6,7,8,13,10,11,13,13,11,11,10,9,,,,,
,,,,3,1,-3,-4,0,1,-2,2,4,1,1,1,0,-1,,,,,
11 / 15 측정,,,,,18,6,7,8,13,11,11,18,18,11,10,10,11,,,,,
,,,,,1,-3,-3,-1,0,-3,0,5,2,1,0,1,1,,,,,
11 / 16 측정,,,,,,6,6,8,13,12,11,14,14,11,14,12,11,10,7,,,
,,,,,,-3,-5,-1,0,-2,0,5,-1,0,3,0,-1,-2,-3,,,
11 / 17 측정,,,,,,,6,8,14,12,13,15,13,10,12,14,8,7,6,7,,
,,,,,,,-5,-1,-1,-2,2,6,0,-1,2,2,-2,-3,-3,-3,,
11 / 18 측정,,,,,,,,8,14,13,14,15,14,7,13,11,8,7,8,,,
,,,,,,,,-1,-1,-1,3,7,0,-2,5,-1,-3,-2,-2,,,
11 / 19 측정,,,,,,,,,14,13,15,15,16,7,11,7,8,10,8,7,5,5
,,,,,,,,,-1,1,4,7,2,-3,4,-3,-1,0,-3,-3,-5,-5
11 / 20 측정,,,,,,,,,,12,14,15,16,7,9,8,7,9,5,5,7,7
,,,,,,,,,,4,8,5,-3,1,-3,-1,-2,-5,-4,-3,-3,-4
11 / 21 측정,,,,,,,,,,,15,15,17,8,10,9,7,10,9,5,6,7
,,,,,,,,,,,4,9,6,-3,2,-2,-2,0,-3,-4,-3,-4
11 / 22 측정,,,,,,,,,,,,15,16,10,10,9,8,12,11,7,7,7
,,,,,,,,,,,,9,6,-1,2,-2,-1,1,-3,-4,-3,-4
11 / 23 측정,,,,,,,,,,,,,16,9,10,9,8,12,12,8,8,8
,,,,,,,,,,,,,6,-2,2,-2,-1,2,-1,-3,-2,-4
